nohup: ignoring input
===== 1/4 执行seg任务（生成分割掩码） =====
[PROCESSOR] Found 163 valid slides in /data/Dataset_all/GIST多模态数据/2020+2022data.
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/013-014.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/007-008.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/007-008.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/007-008.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/007-008.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/009-010.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/011-012.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/017-018.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/015-016.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/013-014.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/009-010.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/011-012.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/011-012.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/019.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/005-006.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/001-002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/019-020.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/002.geojson 不存在
[SEG] 警告：/home/20+22data/contours_geojson/003-004.geojson 不存在
